epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,57393,1.38187,0.96789,2.1403,0.86317,0.81994,0.86788,0.72362,2.88815,3.30466,3.21064,0.000281459,0.000281459,0.000281459
70,58201.2,1.38082,0.96573,2.14414,0.86784,0.81537,0.86855,0.72419,2.8844,3.32078,3.21473,0.000272611,0.000272611,0.000272611
71,59010,1.37423,0.962,2.13557,0.87496,0.81259,0.86836,0.72419,2.88501,3.33867,3.22058,0.000263819,0.000263819,0.000263819
72,59818.4,1.36332,0.95051,2.12942,0.86792,0.81343,0.86851,0.72563,2.88342,3.35555,3.22651,0.000255089,0.000255089,0.000255089
73,60626.7,1.34963,0.9438,2.12283,0.87204,0.81288,0.86903,0.72695,2.88471,3.37843,3.23312,0.000246426,0.000246426,0.000246426
74,61435,1.35185,0.94245,2.12235,0.86823,0.81306,0.86927,0.72716,2.88715,3.38707,3.2406,0.000237836,0.000237836,0.000237836
75,62242.2,1.3368,0.92648,2.11767,0.8692,0.81049,0.86782,0.72578,2.88874,3.39878,3.2443,0.000229326,0.000229326,0.000229326
76,63049.4,1.3239,0.91558,2.10464,0.87071,0.81001,0.86928,0.72807,2.88655,3.41339,3.24864,0.0002209,0.0002209,0.0002209
77,63856.9,1.3198,0.91167,2.10714,0.869,0.80283,0.86685,0.7251,2.892,3.42942,3.25963,0.000212566,0.000212566,0.000212566
78,64664.8,1.31688,0.91518,2.10587,0.87112,0.80691,0.86733,0.72558,2.89158,3.43691,3.26306,0.000204328,0.000204328,0.000204328
79,65473.1,1.31442,0.90937,2.10077,0.87744,0.80649,0.86782,0.72599,2.89261,3.45355,3.26737,0.000196192,0.000196192,0.000196192
80,66281.5,1.29655,0.89724,2.09762,0.87766,0.80812,0.8676,0.72611,2.89198,3.47043,3.27089,0.000188164,0.000188164,0.000188164
81,67089.2,1.28479,0.88704,2.0874,0.88373,0.80434,0.8684,0.72686,2.89542,3.48491,3.27515,0.00018025,0.00018025,0.00018025
82,67896.8,1.28695,0.88057,2.08255,0.87672,0.80362,0.86841,0.72697,2.90025,3.49391,3.2859,0.000172454,0.000172454,0.000172454
83,68706,1.28731,0.89013,2.0812,0.87942,0.80344,0.86855,0.72629,2.89914,3.51402,3.2921,0.000164783,0.000164783,0.000164783
84,69513.1,1.2792,0.8804,2.07782,0.88027,0.8007,0.86809,0.72608,2.90067,3.52952,3.29684,0.00015724,0.00015724,0.00015724
85,70321.4,1.27812,0.86515,2.07313,0.88337,0.79732,0.86738,0.72572,2.89915,3.55099,3.30273,0.000149832,0.000149832,0.000149832
86,71128.7,1.26534,0.85581,2.06594,0.88269,0.79561,0.86767,0.72527,2.90285,3.56608,3.31022,0.000142564,0.000142564,0.000142564
87,71935.8,1.25389,0.85917,2.06768,0.87053,0.79987,0.86677,0.7254,2.90689,3.57855,3.31932,0.00013544,0.00013544,0.00013544
88,72743.8,1.24481,0.84573,2.05659,0.87319,0.80212,0.86751,0.72529,2.90693,3.59817,3.32502,0.000128466,0.000128466,0.000128466
89,73551,1.248,0.8527,2.06253,0.87129,0.80745,0.86761,0.7255,2.91024,3.61347,3.33312,0.000121646,0.000121646,0.000121646
90,74358.3,1.23476,0.8366,2.0538,0.86899,0.80807,0.867,0.72457,2.91402,3.62922,3.33897,0.000114985,0.000114985,0.000114985
91,75165.8,1.22808,0.83105,2.05244,0.88498,0.79319,0.86669,0.72471,2.91746,3.64459,3.34588,0.000108488,0.000108488,0.000108488
92,75973.6,1.23483,0.84297,2.05446,0.88841,0.78719,0.86555,0.72337,2.9173,3.65405,3.34889,0.000102158,0.000102158,0.000102158
93,76778.7,1.21907,0.83649,2.04823,0.8852,0.79255,0.86503,0.7233,2.9186,3.66688,3.3533,9.60003e-05,9.60003e-05,9.60003e-05
94,77585.4,1.20862,0.82603,2.04246,0.88456,0.79063,0.86526,0.72321,2.91694,3.67979,3.35592,9.00193e-05,9.00193e-05,9.00193e-05
95,78393.3,1.20208,0.81806,2.03861,0.88828,0.78907,0.86448,0.72218,2.91887,3.70515,3.36088,8.42189e-05,8.42189e-05,8.42189e-05
96,79199.6,1.20031,0.81335,2.03293,0.8789,0.79402,0.86451,0.72295,2.91924,3.72008,3.36594,7.86031e-05,7.86031e-05,7.86031e-05
